44
500,EMPLOYEES,15.6.2016,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,100
500,EMPLOYEES,15.6.2016,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.6.2016,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.6.2016,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,100
500,EMPLOYEES,15.7.2016,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.7.2016,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.7.2016,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,100
500,EMPLOYEES,15.7.2016,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.8.2016,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.8.2016,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.8.2016,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.8.2016,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
500,EMPLOYEES,15.9.2016,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.9.2016,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.9.2016,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.9.2016,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
500,EMPLOYEES,15.10.2016,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.10.2016,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.10.2016,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.10.2016,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
500,EMPLOYEES,15.11.2016,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.11.2016,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.11.2016,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.11.2016,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
500,EMPLOYEES,15.12.2016,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.12.2016,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.12.2016,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.12.2016,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
500,EMPLOYEES,15.1.2017,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.1.2017,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.1.2017,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.1.2017,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
500,EMPLOYEES,15.2.2017,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.2.2017,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.2.2017,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.2.2017,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
500,EMPLOYEES,15.3.2017,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.3.2017,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.3.2017,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.3.2017,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
500,EMPLOYEES,15.4.2017,1600,1870612780056,Louie Jones,1.5.2016,27.12.2017,0
500,EMPLOYEES,15.4.2017,1600,1890602785056,Dave Williams,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.4.2017,1600,1890607735256,James Harvey,1.5.2016,27.12.2017,50
500,EMPLOYEES,15.4.2017,1600,2900923638210,Amanda Smith,1.5.2016,27.12.2017,200
